Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Building an Acceleration Overlay for Novice Students,S. S. Jadhav; N. LaMoyne; A. Chen; C. Gloster; D. Yang; S. Yun; Y. Kim,"Dept. of Computer Systems Technology, North Carolina A & T State University, Greensboro, NC; Dept. of Electrical Engineering, San Jose State University, San Jose, CA, USA; Dept. of Electrical Engineering, San Jose State University, San Jose, CA, USA; Dept. of Computer Systems Technology, North Carolina A & T State University, Greensboro, NC; Crescenta Valley High School, 2900 Community Ave., La Crescenta, CA, 91214; Dept. of Electrical Engineering, San Jose State University, San Jose, CA, USA; Dept. of Electrical Engineering, San Jose State University, San Jose, CA, USA",2018 31st IEEE International System-on-Chip Conference (SOCC),,2018,,,136,139,"Over the past decade, many students and developers have adopted high-level synthesis in order to help with their design goals and project development. Computer languages such as Python has been widely utilized as description language for development due to emphasis on code readability and reduction of coding time. Since high-level languages can allow users to worry less about memory and data management and more about implementations, users can emphasize on learning and accomplishing a subject in a timely manner without the need to develop for an extensively long period of time. The need to develop tools necessary for close the gap between the software and hardware design will enable more people to contribute to the utilization of a Field Programmable Gate Array (FPGA) educational project. This paper presents the benefits of using Python on FPGAs via the Jupyter Notebooks and process of designing a Python overlay on the Xilinx PYNQ-Zl board, consisting of a Zynq All Programmable System on Chips (APSoCs) and an ARM-Cortex A9 processor.",2164-1706;2164-1676,978-1-5386-1491-4978-1-5386-1490-7978-1-5386-1492,10.1109/SOCC.2018.8618511,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8618511,Overlays;FPGA;Sobel filter,Field programmable gate arrays;Conferences;Engineering education,field programmable gate arrays;high level languages;system-on-chip,acceleration overlay;novice students;high-level synthesis;project development;computer languages;description language;code readability;high-level languages;data management;hardware design;Python overlay;ARM-Cortex A9 processor;APSoC;Zynq all programmable system on chips;Xilinx PYNQ-Zl board;Jupyter Notebooks;field programmable gate array educational project;software design;coding time reduction,,,8,,,,,,IEEE,IEEE Conferences
A Tool for Digital Circuits Synthesis Based on Notification Oriented Paradigm,R. Kerschbaumer; J. M. Simao; J. A. Fabro; C. R. Erig Lima; R. Ribeiro Linhares,NA; NA; NA; NA; NA,IEEE Latin America Transactions,,2018,16,6,1574,1586,"FPGAs (Field Programmable Gate Arrays) are proving to be an alternative for applications that require great processing power because they allow parallelism. Still, the high-level synthesis tools allow professionals without hardware knowledge to use FPGAs. However, this high-level tools do not allow to properly explore the parallelism because they are either based on sequential techniques or rely on languages with an insufficient level of abstraction. In this paper it is proposed the use of the Notification Oriented Paradigm (NOP) for Digital Hardware as a high-level synthesis tool. The NOP is a development technique that presents a new concept for designing and executing applications, based on rules and collaborative entities, which communicate through notifications in a parallel way. In order to allow the use of the NOP in the creation of digital hardware as a new high-level synthesis tool, a new programming language was proposed, and both a compiler and an emulator where implemented. With these tools it is possible to generate VHDL code directly from a high level NOP program. In order to evaluate the performance and stability of circuits generated with these tools, some experiments were performed. These experiments demonstrated that the NOP for Digital Hardware allows quickly and easily creating reliable digital circuits with suitable performance and parallelism, directly from a high-level development environment.",1548-0992,,10.1109/TLA.2018.8444152,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8444152,FPGA;Notification Oriented Paradigm;VHDL,Field programmable gate arrays;Hardware;Tools;Digital circuits;Parallel processing;Hardware design languages;IEEE transactions,field programmable gate arrays;hardware description languages;high level synthesis;logic design;program compilers;sequential circuits,Notification Oriented Paradigm;high-level synthesis tool;digital hardware;high level NOP program;high-level development environment;digital circuit synthesis;FPGAs;field programmable gate arrays;sequential techniques;programming language;compiler;emulator;VHDL code generation,,,,,,,,,IEEE,IEEE Journals & Magazines
A Distributed Framework for Low-Latency OpenVX over the RDMA NoC of a Clustered Manycore,J. Hascoë; B. D. de Dinechin; K. Desnos; J. Nezan,"Kalray, Montbonnot-Saint-Martin, France; Kalray, Montbonnot-Saint-Martin, France; INSA Rennes, CNRS, IETR - UMR 6164, Univ Rennes, Rennes, France; INSA Rennes, CNRS, IETR - UMR 6164, Univ Rennes, Rennes, France",2018 IEEE High Performance extreme Computing Conference (HPEC),,2018,,,1,7,"Open VX is a standard proposed by the Khronos group for cross-platform acceleration of computer vision and deep learning applications. OpenVX abstracts the target processor architecture complexity and automates the implementation of processing pipelines through high-level optimizations. While highly efficient OpenVX implementations exist for shared memory multi-core processors, targeting OpenVX to clustered manycore processors appears challenging. Indeed, such processors comprise multiple compute units or clusters, each fitted with an on-chip local memory shared by several cores. This paper describes an efficient implementation of OpenVX that targets clustered manycore processors. We propose a framework that includes computation graph analysis, kernel fusion techniques, RDMA-based tiling into local memories, optimization passes, and a distributed execution runtime. This framework is implemented and evaluated on the 2nd-generation Kalray MPPA<sup>®</sup>clustered manycore processor. Experimental results show that super-linear speed-ups are obtained for multi-cluster execution by leveraging the bandwidth of on-chip memories and the capabilities of asynchronous RDMA engines.",2377-6943,978-1-5386-5989-2978-1-5386-5990,10.1109/HPEC.2018.8547736,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8547736,OpenVX;Low power;RDMA;Low latency;Tiling;Fusion;Prefetching;Memory wall;Fully automated,Kernel;Program processors;Optimization;Runtime;Engines;Standards;Computer architecture,computer vision;microprocessor chips;network-on-chip;parallel processing;power aware computing;shared memory systems,distributed framework;low-latency OpenVX;cross-platform acceleration;computer vision;deep learning applications;high-level optimizations;shared memory multicore processors;clustered manycore processor;multiple compute units;clusters;on-chip local memory;computation graph analysis;multicluster execution;OpenVX implementations;processor architecture complexity,,,23,,,,,,IEEE,IEEE Conferences
Energy Efficient and Side-Channel Secure Cryptographic Hardware for IoT-Edge Nodes,A. Singh; N. Chawla; J. H. Ko; M. Kar; S. Mukhopadhyay,"Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Circuits Research Lab, Intel Labs, Hillsboro, OR, USA; Department of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA",IEEE Internet of Things Journal,,2019,6,1,421,434,"Design of ultralightweight but secure encryption engine is a key challenge for Internet-of-Things edge devices. This paper explores the system level design space for an ultralow power image sensor node for secure communication and proposes an optimized datapath architecture for 128-bit SIMON (SIMON128), a lightweight block cipher, for minimal performance, power, and area overheads with increased level of side-channel security. Various datapath architectures for SIMON are explored for simultaneously increasing energy-efficiency and resistance to power-based side-channel analysis (PSCA) attacks. Alternative datapath architectures are implemented on ASIC (15 nm CMOS) and field programmable gate array (FPGA) (Spartan-6, 45 nm) to perform power, performance, and area analysis. We show that, although a bitserial datapath minimizes area and power, a round unrolled datapath provides 80× higher energy-efficiency and 143× higher performance, compared to the baseline bitserial design. Moreover, the PSCA measurements performed using Sakura-G board with Spartan-6 FPGA, demonstrate that a 6-round unrolled datapath improves minimum-traces-to-disclosure for correlation power analysis (CPA) by at least 384× over baseline bitserial design with no successful CPA even with 500000 measurements. Finally, application to the image-sensor node demonstrates that optimized unrolled SIMON128 can provide equivalent performance to AES128 at lower area, higher energy efficiency, and improved side channel security.",2327-4662;2372-2541,,10.1109/JIOT.2018.2861324,Semiconductor Research Corporation; Intel Corporation; Office of Naval Research; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8423186,Energy efficiency;image sensor node;Internet of Things (IoT);lightweight cryptography;round unrolling;side channel analysis attacks;SIMON,Encryption;Engines;Resistance;Ciphers;Performance evaluation;Energy efficiency,application specific integrated circuits;CMOS image sensors;computer network security;cryptography;energy conservation;field programmable gate arrays;Internet of Things;telecommunication power management;telecommunication security,side-channel secure cryptographic hardware;Internet-of-Things edge devices;system level design space;ultralow power image sensor node;secure communication;lightweight block cipher;power-based side-channel analysis;field programmable gate array;bitserial datapath minimizes area;baseline bitserial design;PSCA measurements;Spartan-6 FPGA;correlation power analysis;optimized unrolled SIMON128;AES128;energy efficiency;ultralightweight secure encryption engine;unrolled datapath architectures;IoT-edge node device;CMOS process;ASIC;Sakura-G board;CPA;size 15.0 nm;size 45.0 nm;word length 128 bit,,,43,,,,,,IEEE,IEEE Journals & Magazines
A 1920 $\times $ 1080 30-frames/s 2.3 TOPS/W Stereo-Depth Processor for Energy-Efficient Autonomous Navigation of Micro Aerial Vehicles,Z. Li; Q. Dong; M. Saligane; B. Kempke; L. Gong; Z. Zhang; R. Dreslinski; D. Sylvester; D. Blaauw; H. Kim,"University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA; University of Michigan, Ann Arbor, MI, USA",IEEE Journal of Solid-State Circuits,,2018,53,1,76,90,"This paper presents a single-chip, high-performance, and energy-efficient stereo vision depth-estimation processor for micro aerial vehicles (MAVs). The proposed processor implements the state-of-the-art semi-global matching (SGM) algorithm to deliver full high-definition (HD, 1920 × 1080) stereo-depth outputs with a maximum of 38 frames/s throughput. Algorithm-architecture co-optimization is conducted, introducing overlapping block-based processing that eliminates very large on-chip memory and off-chip DRAM. We exploit inherent data parallelism in the algorithm by processing 128 local disparity costs and aggregating the SGM costs along four paths for all 128 disparities in parallel. A dependence-resolving scan associated with 16-stage deep pipeline is introduced to hide the data dependence between neighboring pixels in the SGM algorithm. Moreover, we propose a customized ultra-high bandwidth dual-port SRAM that utilizes the unique memory access characteristic of SGM to achieve highly energy-efficient memory access at a very high on-chip memory bandwidth of 1.64 Tb/s. The fabricated processor produces 512 levels of depth information for each pixel at full HD resolution with 30-frames/s performance, consuming 836 mW from a 0.75-V supply in TSMC 40-nm GP CMOS. We ported the design on a quadcopter MAV to demonstrate its performance in realistic real-time flight.",0018-9200;1558-173X,,10.1109/JSSC.2017.2751501,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8052224,8T-SRAM;autonomous navigation;semi-global matching (SGM);stereo vision,Estimation;Stereo vision;Algorithm design and analysis;High definition video;Throughput;Bandwidth;Robot sensing systems,autonomous aerial vehicles;CMOS integrated circuits;computer vision;DRAM chips;energy conservation;image matching;pipeline processing;real-time systems;SRAM chips;stereo image processing,TOPS/W stereo-depth processor;local disparity costs;single-chip high-performance energy-efficient stereo vision depth-estimation processor;energy-efficient autonomous navigation;fabricated processor;on-chip memory bandwidth;highly energy-efficient memory access;customized ultra-high bandwidth dual-port SRAM;SGM algorithm;data dependence;dependence-resolving scan;SGM costs;inherent data parallelism;off-chip DRAM;algorithm-architecture co-optimization;microaerial vehicles,,2,37,,,,,,IEEE,IEEE Journals & Magazines
"Algorithm for realisation, parameter analysis, and measurement of pipelined separable 3D finite impulse response filters composed of Givens rotation structures",P. Poczekajło; K. Wawryn,"Koszalin University of Technology, Poland; Koszalin University of Technology, Poland",IET Signal Processing,,2018,12,7,857,867,"A novel algorithm for the realisation of an orthogonal digital system performing three-dimensional filtering for a separable transfer function is presented in this study. The algorithm is based on a state-space approach and consists of synthesis and implementation algorithms. A structure composed of Givens rotators and delay elements is obtained. A coordinate rotation digital computer algorithm has been used to implement Givens rotators in a pipelined structure. The obtained structure has been realised on a field-programmable gate array (FPGA) chip and its performance has been evaluated. It achieved good finite precision, good sensitivity of filter amplitude to filter coefficients, less noise, better impulse response, and less FPGA chip occupation. To verify the obtained results, they have been compared to the results obtained using a direct-form structure consisting of adders, multipliers, and delay elements.",1751-9675;1751-9683,,10.1049/iet-spr.2017.0450,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8454366,,,FIR filters;transfer functions;field programmable gate arrays;pipeline processing,parameter analysis;pipelined separable 3D finite impulse response filter;Givens rotation structure;orthogonal digital system;three-dimensional filtering;separable transfer function;state-space approach;coordinate rotation digital computer algorithm;field-programmable gate array;FPGA chip occupation,,,,,,,,,IET,IET Journals & Magazines
VLSI Architecture Exploration of Guided Image Filtering for 1080P@60Hz Video Processing,X. Zhang; H. Sun; S. Chen; N. Zheng,"Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China; Institute of Artificial Intelligence and Robotics, Xi’an Jiaotong University, Xi’an, China",IEEE Transactions on Circuits and Systems for Video Technology,,2018,28,1,230,241,"Guided image filtering (GIF) is a promising edge-preserving filtering technique that has been applied in a variety of applications. Nevertheless, an efficient very-large-scale integration (VLSI) architecture design of GIF is still very challenging for the real-time processing of full-high definition videos. Previously proposed architectures are somewhat inefficient in terms of either on-chip memory usage or off-chip memory bandwidth. This paper aims to improve the balance between on-chip memory usage and off-chip memory bandwidth through architecture exploration. Three critical architectural tradeoffs in the VLSI design of GIF are explored, and two efficient VLSI architectures, namely sequential line-based and parallel line-based architectures, are proposed. Experimental results demonstrate that the proposed VLSI design only consumes 34.1-K logic gates, 25.4-KB on-chip memories, and 373-MB/s off-chip memory bandwidth while achieving a real-time video processing of 1080P@60Hz at the maximum clock frequency of 297-MHz. Moreover, the proposed VLSI circuits are fully pipelined and synchronized to the pixel clock of output video, so can be seamlessly integrated into diverse real-time video processing systems.",1051-8215;1558-2205,,10.1109/TCSVT.2016.2605690,National Science and Technology Major Project of China; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7559816,Guided image filtering (GIF);memory hierarchy;video processing;very-large-scale integration (VLSI) architecture,Very large scale integration;System-on-chip;Computer architecture;Streaming media;Bandwidth;Engines;Real-time systems,high definition video;image filtering;integrated memory circuits;logic design;logic gates;video signal processing;VLSI,video processing guided image filtering;edge-preserving filtering technique;logic gates;pixel clock;on-chip memory usage;full-high definition videos;very-large-scale integration architecture design;GIF;VLSI architecture exploration;real-time video processing systems;VLSI circuits;off-chip memory bandwidth;VLSI design;line-based architectures;frequency 60.0 Hz,,1,25,,,,,,IEEE,IEEE Journals & Magazines
IMPRESS: Automated Tool for the Implementation of Highly Flexible Partial Reconfigurable Systems with Xilinx Vivado,R. Zamacola; A. G. Martínez; J. Mora; A. Otero; E. d. L. Torre,"Centro de Electrónica Industrial, Universidad Politécnica de Madrid; Centro de Electrónica Industrial, Universidad Politécnica de Madrid; Centro de Electrónica Industrial, Universidad Politécnica de Madrid; Centro de Electrónica Industrial, Universidad Politécnica de Madrid; Centro de Electrónica Industrial, Universidad Politécnica de Madrid",2018 International Conference on ReConFigurable Computing and FPGAs (ReConFig),,2018,,,1,8,"Dynamic partial reconfiguration is considered a great technique to increase flexibility in FPGA designs. However, partial reconfiguration flows supported by commercial tools, such as Xilinx Vivado, still have many limitations. Foremost among them are the lack of support for relocation, which leads to an increase in the on-system memory requirements and the synthesis time, as well as a reduced flexibility when it comes to the definition of reconfigurable regions. Several academic tools have appeared over the years to improve commercial flows. However, the technology shift from ISE to Vivado has left most of these tools unusable for newer FPGAs, including most of the Xilinx Series-7 devices. In this paper, authors present IMPRESS, a TCL script-based tool for the automated generation of relocatable partial bitstreams under Vivado, with a strong focus on the ease of use and the system flexibility. Special support is provided for the implementation of reconfigurable systems that include IP blocks generated with Vivado HLS and standardized bus interfaces. A stream-based reconfigurable architecture for image filtering, implemented in a fully automated manner on a Zynq SoPC, is provided as a use case of the tool.",2640-0472;2325-6532,978-1-7281-1968-7978-1-7281-1969,10.1109/RECONFIG.2018.8641703,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8641703,Partial Reconfiguration;Relocation;Design Tool;Reconfigurable Image Processing;HLS,Tools;Field programmable gate arrays;Routing;Table lookup;Clocks;Wires;Memory management,field programmable gate arrays;logic design,automated generation;relocatable partial bitstreams;Vivado HLS;stream-based reconfigurable architecture;IMPRESS;automated tool;highly flexible partial reconfigurable systems;Xilinx Vivado;dynamic partial reconfiguration;FPGA designs;on-system memory requirements;reconfigurable regions;commercial flows;Xilinx Series-7 devices;TCL script-based tool;image filtering;Zynq SoPC;standardized bus interfaces;IP blocks;partial reconfiguration flows,,,16,,,,,,IEEE,IEEE Conferences
Implementation and Characterization of a Physical Unclonable Function for IoT: A Case Study With the TERO-PUF,C. Marchand; L. Bossuet; U. Mureddu; N. Bochard; A. Cherkaoui; V. Fischer,"Hubert Curien Laboratory, St.-Étienne, France; Hubert Curien Laboratory, St.-Étienne, France; Hubert Curien Laboratory, St.-Étienne, France; Hubert Curien Laboratory, St.-Étienne, France; TIMA Laboratory, Grenoble, France; Hubert Curien Laboratory, St.-Étienne, France",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,,2018,37,1,97,109,"Today, life is becoming increasingly connected. From TVs to smartphones, including vehicles, buildings, and household appliances, everything is interconnected in what we call the “Internet of Things” (IoT). IoT is now part of our life and we have to deal with it. More than ten billion devices are already connected and five times more are expected to be deployed in the next five years. While deployment and integration of IoT is expanding, one of the main challenge is to provide practical solutions to security, privacy, and trust issues in IoT. Protection and security mechanisms need to include features such as interoperability and scalability but also traceability, authentication, and access control while remaining lightweight. Among the most promising approaches to such security mechanisms, physical unclonable functions (PUFs) provide a unique identifier for similar but different integrated circuits using some of their physical characteristics. These types of functions can thus be used to authenticate integrated circuits, provide traceability and access control. This paper presents a comprehensive case study of the transient effect ring oscillator (RO) PUF from its implementation on FPGAs to its complete characterization. The implementation of the PUF is detailed for two different families of FPGAs: 1) Xilinx Spartan 6 and 2) Altera Cyclone V. All the metrics used for the characterization are explained in detail and the results of the characterization include robustness to environmental parameters including variations in temperature and voltage. Finally, we compare our results with those obtained for another PUF: the RO PUF. All the design files are available online to ensure repeatability and enable comparison of our contribution with other studies.",0278-0070;1937-4151,,10.1109/TCAD.2017.2702607,French “Agence Nationale de la Recherche”; French “Fondation de Recherche pour l’Aéronautique et l’Espace” which was conducted in the Framework of the SALWARE; European Union Horizon 2020 Research and Innovation Programme in the framework of the Project HECTOR (Hardware Enabled Cryptoand Randomness); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7922497,FPGA;physical unclonable function (PUF);PUF characterization;PUF design,Field programmable gate arrays;Inverters;Oscillators;Authentication;Delays;Access control,data protection;field programmable gate arrays;Internet of Things;oscillators;smart phones;trusted computing,physical characteristics;access control;RO PUF;physical unclonable function;IoT;TERO-PUF;integration;security mechanisms;integrated circuits;Physical Unclonable Function;privacy mechanisms;Xilinx Spartan;smartphones;Altera Cyclone V,,5,35,,,,,,IEEE,IEEE Journals & Magazines
Novel Offset Techniques for Improving Bitstring Quality of a Hardware-Embedded Delay PUF,W. Che; F. Saqib; J. Plusquellic,"Department of Electrical Communication Engineering, University of New Mexico, Albuquerque, NM, USA; Department of Electrical Communication Engineering, University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Electrical Communication Engineering, University of New Mexico, Albuquerque, NM, USA",IEEE Transactions on Very Large Scale Integration (VLSI) Systems,,2018,26,4,733,743,"Statistical properties including uniqueness, randomness, and reproducibility are commonly used as metrics for physical unclonable functions (PUFs). When PUFs are used in authentication protocols, the first two metrics are critically important to the overall security of the system. In this paper, we investigate the statistical qualities of bitstrings generated by a hardware-embedded delay PUF called HELP using hardware data collected from a set of 500 Xilinx Zynq FPGAs. HELP analyzes variations in path delays that occur within a hardware-implemented macro. Two novel techniques are proposed in which the verifier computes a set of offsets that are used to fine tune the token's digitized path delays as a means of maximizing entropy and reproducibility in the generated bitstrings. The offsets are derived from the enrollment data stored by the server in a secure database. A population-based offset method is proposed, which computes median values using data from multiple tokens. A second chip-specific technique is proposed, which fine tunes path delays using the stored enrollment data associated with the authenticating token. The analysis of FPGA data shows that the population-based offset method significantly improves entropy while the chip-specific technique, used alone or in combination with the population-based method, significantly improves reproducibility.",1063-8210;1557-9999,,10.1109/TVLSI.2017.2785270,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8255640,Entropy-enhancing technique;physically unclonable functions (PUFs);PUF-based authentication;reliability-enhancing technique,Delays;Entropy;Authentication;Logic gates;Field programmable gate arrays;Hardware,cryptographic protocols;entropy;field programmable gate arrays;statistical analysis,novel offset techniques;hardware-embedded delay PUF;reproducibility;metrics;physical unclonable functions;authentication protocols;secure database;multiple tokens;chip-specific technique;stored enrollment data;authenticating token;statistical properties;Xilinx Zynq FPGA;HELP;path delays;bitstring quality;uniqueness;population-based offset method;entropy maximization,,,23,,,,,,IEEE,IEEE Journals & Magazines
Real-Time Implementation of Contextual Image Processing Operations for 4K Video Stream in Zynq UltraScale+ MPSoC,M. Kowalczyk; D. Przewlocka; T. Krvjak,"AGH University of Science and Technology Krakow, Poland; AGH University of Science and Technology Krakow, Poland; AGH University of Science and Technology Krakow, Poland",2018 Conference on Design and Architectures for Signal and Image Processing (DASIP),,2018,,,37,42,"In this paper hardware implementation of selected contextual based image pre-processing modules for a 3840×2160 @60 FPS video stream in a Zynq UltraScale+ MPSoC is discussed. The following operations are considered: simple averaging (box filter), Gaussian filter, edge detection using the Sobel and Canny methods, median filter and morphological erosion and dilation operations. The scheme for implementing contextual based operations for a video stream in the format of 2 and 4 pixels per clock and challenges related to the pipelined implementation of processing such data are described. Also the use of logic resources and energy efficiency of modules described in the Verilog hardware description language and using the High Level Synthesis tools (Vivado HLS, SDSoC and xfOpenCV library) are compared. All designed modules support real-time processing of a 4K@60 FPS video stream.",,978-1-5386-8237-1978-1-5386-8238,10.1109/DASIP.2018.8597105,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8597105,FPGA;Zynq SoC;image pre-processing;contextual based filtering;real-time processing;Sobel;Canny;Vivado HLS;SDSoC;xfOpenCV,Streaming media;Clocks;Field programmable gate arrays;Image processing;Real-time systems;Hardware;Hardware design languages,edge detection;hardware description languages;high level synthesis;image processing;median filters;system-on-chip;video signal processing;video streaming,edge detection;median filter;morphological erosion;dilation operations;contextual based operations;pipelined implementation;logic resources;Verilog hardware description language;designed modules;real-time processing;4K@60 FPS video stream;time implementation;contextual image processing operations;Zynq UltraScale+ MPSoC;selected contextual based image pre-processing modules;simple averaging;box filter;Gaussian filter;hardware implementation;video stream,,,15,,,,,,IEEE,IEEE Conferences
A Theoretical Model to Link Uniqueness and Min-Entropy for PUF Evaluations,C. Gu; W. Liu; N. Hanley; R. Hesselbarth; M. O'Neill,"Centre for Secure Information Technologies (CSIT), Institute of Electronics, Communications & Information Technology (ECIT), Queen's University Belfast (QUB), Belfast, U.K; College of Electronic and Information Engineering, Nanjing University of Aeronautics and Astronautics (NUAA), Nanjing, China; Centre for Secure Information Technologies (CSIT), Institute of Electronics, Communications & Information Technology (ECIT), Queen's University Belfast (QUB), Belfast, U.K; Fraunhofer Institute for Applied and Integrated Security (AISEC), Munich, Germany; Centre for Secure Information Technologies (CSIT), Institute of Electronics, Communications & Information Technology (ECIT), Queen's University Belfast (QUB), Belfast, U.K",IEEE Transactions on Computers,,2019,68,2,287,293,"Physical unclonable functions (PUFs) are security primitives that enable the extraction of digital identifiers from electronic devices, based on the inherent silicon process variations between devices which occur during the manufacturing process. Due to the intrinsic and lightweight nature of a PUF, they have been proposed to provide security at a low cost for many applications, in particular for the internet of things (IoT). Many metrics have been proposed to evaluate the security and performance of PUF architectures, two of which are uniqueness and min-entropy. The uniqueness of a PUF response evaluates its ability to differentiate between different physical devices, while the min-entropy estimation is a measure of how much uncertainty the PUF response contains. The min-entropy is a lower-bound of real entropy. When the uniqueness of a PUF design is close to the optimal, it is unclear if this also implies that the design has a significantly high entropy; hence it would be useful to ascertain the minimum uniqueness required to achieve a given entropy. To date, a thorough investigation of the relationship between uniqueness and entropy for PUF designs has not been conducted. In this paper, this relationship between the uniqueness and entropy is explored, and for the first time, to the authors' knowledge, the relationship between them is modeled. To verify this model, both simulated and hardware-based experimental results are performed, with a test-bed containing 184 Xilinx Artix-7 FPGA based Basys3 boards providing a large data set for granular results. The experimental results demonstrate that the proposed model accurately estimates the relationship between uniqueness and min-entropy, with both the theoretical analysis and software simulations closely matching the experimental results.",0018-9340;1557-9956;2326-3814,,10.1109/TC.2018.2866241,Institute for Information and communications Technology Promotion; Engineering and Physical Sciences Research Council (EPSRC); EU 7th Framework Programme; National Natural Science Foundation of China; Natural Science Foundation of Jiangsu Province; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8444682,Entropy;physical unclonable functions;uniqueness,Entropy;Security;Internet of Things;Analytical models;Software;Performance evaluation,copy protection;entropy;field programmable gate arrays;integrated circuit modelling;logic design,link uniqueness;physical unclonable functions;security primitives;electronic devices;PUF response;min-entropy estimation;PUF design;Basys3 boards;Xilinx Artix-7 FPGA;IoT;Internet of Things;physical devices;silicon process variations,,,22,,,,,,IEEE,IEEE Journals & Magazines
Design and Implementation of Efficient Streaming Deblocking and SAO Filter for HEVC Decoder,S. Baldev; K. Shukla; S. Gogoi; P. K. Rathore; R. Peesapati,"Department of Electronics and Communication Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Electronics and Communication Engineering, Maharaja Surajmal Institute of Technology, New Delhi, India; Department of Electronics and Communication Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Electronics and Communication Engineering, National Institute of Technology Meghalaya, Shillong, India; Department of Electronics and Communication Engineering, National Institute of Technology Meghalaya, Shillong, India",IEEE Transactions on Consumer Electronics,,2018,64,1,127,135,"This paper aims to design an efficient mixed serial five-stage pipeline processing hardware architecture of deblocking filter (DBF) and sample adaptive offset (SAO) filter for high efficiency video coding decoder. The proposed hardware is designed to increase the throughput and reduce the number of clock cycles by processing the pixels in a stream of 4 × 36 samples in which edge filters are applied vertically in a parallel fashion for processing of luma/chroma samples. Subsequently these filtered pixels are transposed and reprocessed through vertical filter for horizontal filtering in a pipeline fashion. Finally, the filtered block transposed back to the original orientation and forwarded to a three-stage pipeline SAO filter. The proposed architecture is implemented in field programmable gate array and application specific integrated circuit platform using 90-nm library. Experimental results illustrate that the proposed DBF and SAO architecture decreases the processing cycles (172) required for processing each 64 × 64 or large coding unit compared with the state-of-the-art literature with the increase of gate count (593.32K) including memory. The results show that the throughput of the proposed filter can successfully decode ultrahigh definition video sequences at 200 frames/s at 341 MHz.",0098-3063;1558-4127,,10.1109/TCE.2018.2812518,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8307357,Deblocking filter (DBF);field programmable gate array (FPGA);high efficiency video coding (HEVC);sample adaptive offset (SAO) filter,Filtering;Hardware;Logic gates;Throughput;Encoding;Filtering algorithms;Computer architecture,adaptive filters;application specific integrated circuits;decoding;field programmable gate arrays;image filtering;image sampling;pipeline processing;video coding;video streaming,three-stage pipeline SAO filter;field programmable gate array;application specific integrated circuit platform;DBF;HEVC decoder;five-stage pipeline processing hardware architecture;high efficiency video coding decoder;edge filters;mixed serial five-stage pipeline processing hardware architecture;streaming deblocking filter;sample adaptive offset filter;luma-chroma sample processing;frequency 341.0 MHz,,,19,,,,,,IEEE,IEEE Journals & Magazines
