Document Title,Abstract,Publication_month,Publication_Year,PDF Link
An Investigation towards Effectiveness in Image Enhancement Process in MPSoC.,"Image enhancement has a primitive role in the vision-based applications. It involves the processing of the input image by boosting its visualization for various applications. The primary objective is to filter the unwanted noises, clutters, sharpening or blur. The characteristics such as resolution and contrast are constructively altered to obtain an outcome of an enhanced image in the bio-medical field. The paper highlights the different techniques proposed for the digital enhancement of images. After surveying these methods that utilize Multiprocessor System-on-Chip (MPSoC), it is concluded that these methodologies have little accuracy and hence none of them are efficiently capable of enhancing the digital biomedical images.",4,2018,https://www.iaescore.com/journals/index.php/IJECE/article/view/8907
The Tomo-e Gozen wide field CMOS camera for the Kiso Schmidt telescope,"The Tomo-e Gozen is a wide-field high-speed camera for the Kiso 1.0-m Schmidt telescope, with a field-of-view of 20.7-deg2 covered by 84 chips of 2k x 1k CMOS image sensors with 19-μm pixels. It is capable to take consecutive images at 2-fps in full-frame read with an absolute time accuracy of 0.2 millisecond. The sensors are operated without mechanical coolers owing to a low dark current at room temperature. A low read noise of 2-e- achieves higher sensitivity than that with a CCD sensor in short exposures. Big data of 30-TBytes per night produced in the 2-fps observations is processed in real-time to quickly detect transient events and issue alerts for follow-ups.",7,2018,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10702/2310049/The-Tomo-e-Gozen-wide-field-CMOS-camera-for-the/10.1117/12.2310049.short
Implementing a Stereo Image Correction Method for 3D Surgery Microscopes,"Recently 3D scenes are used in various industrial fields such as medical applications, computer games, surface examinations, biology and others. 3D optical microscopes can show extremely precise details in 3D. To reconstruct the 3D images of an optical microscope, two cameras are mounted on the optical microscope. Incoming images through an object lens of an optical microscope are projected on sensors of mounted cameras by using refraction mirrors. Two cameras capture the left and right images to reconstruct the final 3D images. In this paper, we correct the 3D reconstruction errors with the SURF algorithm. We also design a hardware system to correct wrong mirror positions using servo motors. In addition, we propose the surgical system with HMD and wireless communications. This system would be helpful for doctors due to make doctors comfortable and it can be used to educate surgery procedures.",1,2018,https://www.riverpublishers.com/journal_read_html_article.php?j=JSN/2016/1/9
Biomedical Equipment Development: from Custom Circuits to Software and Building Blocks,"Eleven biomedical equipment prototypes developed by Núcleo de Ingeniería Biomédica (NIB) from Universidad de la República (Uruguay) in 1987 to 2001 are reviewed. Based on interdisciplinary work of Medical School and Engineering Faculty members, the new instruments and software tools satisfy clinical and research needs in Biomedicine, and they are available for technological transfer to industry. Mean development time was 2543 man-hours (std dev=993) which accounted for 89,5% (std dev=10,5%) of total costs @ 20 USD/hour. An updated design of the projects is proposed, using present day elements, devices and development tools, yielding cost reductions in 2017 of up to 68% in materials costs, after a mean of 25 years. All prototypes developed were and some still are in clinical use, while only one of them evolved into a commercial product, confirming the one-to-ten ratio of successful investment in risk.",8,2018,http://revistasabi.fi.mdp.edu.ar/index.php/revista/article/view/141
The FPGA Based System for High Dynamic Range Automotive Camera (FPGA),"A system for capturing and processing a digital imaging system with a Sony IMX390 two-dimensional sensor supports high-dynamic imaging. To develop the system, the ZC706 development board was used for the Zynq-7000 SoC family of circuits. The Zynq-7000 consists of FPGAs and ARM processors integrated on the same chip. In the FPGA section, the whole image processing pipeline and the picture display system were implemented on the monitor. The processor system performs a demonstration application that sequentially includes individual piping modules for the purpose of displaying the influence of a particular module. The error detection process is explained in the system operation. The simple modification of the system is shown due to the flexibility provided by the FPGA circuit.",7,2018,https://bib.irb.hr/prikazi-rad?rad=958356
System and method for display auto-correction impedance mismatch control,"A method and information handling system including a display device connector for connecting to a digital display device, a controller executing instructions of an impedance mismatch control system for determining impedance differences along an operative connection from the display device connector to the digital display device, where the controller receives a display device connector impedance measurement and a second impedance measurement from a point further along the operative connection between the display device connector and the digital display device, and the controller executes the impedance mismatch control system to determine an impedance mismatch exists from the impedance difference between the display device connector and the point further along the operative connection between the display device connector and the digital display device.",5,2018,https://patents.google.com/patent/US20180151151A1/en
System Design and Implementation with Improved FCWS Detection Speed,"Recently, the Advanced Driver-Assistance Systems (ADAS) system has been installed to assist the safe operation of the vehicle. The LDWS and Forward Collision Warning System (FCWS) are the core of the Among these, FCWS has been evaluated as a key assistive technology to prevent vehicle collision. Therefore, many algorithms have been developed and tested for detection and actual detection algorithms have been commercialized. It has the best effect by combining hardware and BSP driver (Board Support Package) and algorithm. In this paper,We propose the design of a system that optimizes the FCWS by analyzing the hardware structure of the embedded system,",1,2018,http://ki-it.com/_PR/view/?aidx=12752&bidx=968#!po=4.16667
Apparatuses and methods for measuring transmit signal power leaking into adjacent radio channels,"The present disclosure relates to an apparatus for a wireless communication system. The apparatus comprises transmitter circuitry configured to generate a transmit signal on an assigned radio channel, and transmitter feedback receiver circuitry coupled to the transmitter circuitry and configured to estimate an amount of transmit signal power that leaks into adjacent radio channels based on a fed back version of the transmit signal.",6,2018,https://patents.google.com/patent/US20180175949A1/en
System for development and emulation of embedded systems,"A computer based electronic device emulation and development system includes examining a target platform program and determining a first memory location utilized by the target platform program, and providing a first software object to a host program containing a function that allows access to the first memory location.",12,2018,https://patents.google.com/patent/US20180357150A1/en
Sistema de captura y procesado de video para aviónica,"This Final Project is part of the OIT project (On-Board Information Terminal) that has been developed in the avionics department of Sainsel Sistemas Navales, a company specializing in military applications. The OIT is a multifunction presentation system designed for the use on board military aircraft. The system offers a human-machine interface that allows the flight crew to interact with the central computer on which the refueling and mission planning applications are executed. It also allows to request and visualize the image captured by the video cameras of the EVS system (Enhanced Vision System).The system consists of a modular processor called PU (Process Unit) and a touch screen device called DU (Display Unit). The PU is installed in the avionics bay and communicates via Ethernet with the DU device, which is housed in the cockpit of the aircraft. The PU receives the remote desktop from the central computer and sends it to the DU device. This desktop contains the user interface of the application software with which the flight crew interacts through the touch screen of the DU. In addition to the presentation of the remote desktop, the DU offers a contextual menu that allows the user to select one of the available cameras of the EVS system. After the selection, the PU receives a command through the Ethernet interface which is replicated through a serial port connected to an external device called VMU (Video Multiplexer Unit) that is part of the EVS system. This equipment is responsible for switching between the different video inputs and offers a single stream in HD-SDI format. For the reception of the video, the PU has the CAPT-SDI system, which consists of a hardware dedicated to the capture, compression and transmission of video with low latency. The target of this Final Degree Project has been the design and development of the CAPT-SDI system, whose implementation has been analyzed and finally carried out through a hardware architecture that combines an FPGA (Field Programmable Gate Array) Arria V GX device for the capture and processing tasks and an iMX6Q device for compression and transmission over IP (Internet Protocol). The project is focused on the design of the digital system built in the FPGA, which incorporates instances of complex IP (Intellectual Property) dedicated to the reception and processing of real-time video, memory interfaces, own logic and a instance of embedded processor Nios II, which executes the system control algorithm.",7,2018,http://oa.upm.es/53214/
High-fidelity 3d reconstruction using facial features lookup and skeletal poses in voxel models,"Techniques for high-fidelity three-dimensional (3D) reconstruction of a dynamic scene as a set of voxels are provided. One technique includes: receiving, by a processor, image data from each of two or more spatially-separated sensors observing the scene from a corresponding two or more vantage points; generating, by the processor, the set of voxels from the image data on a frame-by-frame basis; reconstructing, by the processor, surfaces from the set of voxels to generate low-fidelity mesh data; identifying, by the processor, performers in the scene from the image data; obtaining, by the processor, high-fidelity mesh data corresponding to the identified performers; and merging, by the processor, the low-fidelity mesh data with the high-fidelity mesh data to generate high-fidelity 3D output. The identifying of the performers includes: segmenting, by the processor, the image data into objects; and classifying, by the processor, those of the objects representing the performers.",8,2018,https://patents.google.com/patent/US20180240244A1/en
Utility Based Scheduling for Multi-UAV Search Systems in Disaster-Hit Areas,"Using micro or small unmanned aerial vehicles (UAVs) is a promising solution for search and rescue of missing persons who have disappeared during emergencies, such as natural disasters. In actual situations, the processing time of image data should be considered due to the wide variety of computing resources provided by UAVs. In addition, network connectivity and transmission speed could be unstable since communication infrastructure may have been damaged in disaster-hit areas. Thus, both the processing time of the acquired data and the data transfer time are critical in search and rescue missions. Unlike the solutions proposed in the past, we propose a scheduling method of multi-UAV search systems that takes into account both the processing time of image data and the data transfer time. We present a utility-based problem formulation that ensures continuously updating information while obtaining as many pieces of information as possible for a certain period. The simulation results indicate that the proposed scheduling method maximizes user utility and performs better than a conventional scheduling method in terms of user-centric evaluation metrics.",2,2019,https://ieeexplore.ieee.org/abstract/document/8648443
Methods and systems for controlling angular intensity patterns in a real space 3d image,"A system for displaying one or more images in three dimensions. The system has a three dimensional illumination volume containing a gas that emits one or more types of visible light when at certain multi-photon excited states. The system includes lasers (e.g. lasers with beams outside of the visible wavelengths) that can be directed to intersect in the illumination volume to excite particles of the gas to a multi-photon excited state to emit visible light. Scanning the beam intersection (or multiple beam intersections) through the illumination volume generates three dimensional images. In some embodiments, the system includes lasers that can be directed to intersect in the illumination volume to excite particles to an intermediate state that absorbs at least a portion of the emitted radiation from particles excited to a multi-photon excited state.",9,2018,https://patents.google.com/patent/US20180267326A1/en
Early sub-pixel rendering,A display system includes a display device and a graphics processing unit (GPU) coupled via at least one physical layer. The display device includes a pixel array having a non-red-green-blue (non-RGB) pixel format. The GPU is configured to render an image in the non-RGB pixel format and provide the rendered image for transmission to the pixel array via the at least one physical layer.,5,2018,https://patents.google.com/patent/US20180137598A1/en
Low resolution rgb rendering for efficient transmission,"A display device includes a pixel array and a display controller. The pixel array has a non-red-green-blue (non-RGB) pixel format that includes at least first, second, and third color components, and wherein sub-pixels of the first color component are present at a first resolution and sub-pixels of each of the second and third color components are present at a second resolution lower than the first resolution. The display controller is configured to receive a first image in a an RGB pixel format in which sub-pixels of the first color component, sub-pixels of the second color component, and sub-pixels of the third color component each are present in the first image at the second resolution. The display controller further is configured to scale sub-pixels of the first color component in the first image from the second resolution to the first resolution to generate a second image having the non-RGB format.",5,2018,https://patents.google.com/patent/US20180137602A1/en
Dual-path foveated graphics pipeline,"A foveated display system includes a rendering device including at least one graphics processing unit (GPU) to render a foveal region and a peripheral region of a first image, wherein the foveal region has a higher resolution than the peripheral region. The system further includes a display device coupled to the rendering device via at least one physical layer. The display device includes a pixel array and a display controller coupled to the pixel array. The display controller includes a scaling component to upscale the first peripheral region to generate a scaled first peripheral region and a blending component to blend the foveal region with the scaled first peripheral region to generate a second image.",5,2018,https://patents.google.com/patent/US20180136720A1/en
"Automated discovery and notification mechanism for obsolete display software, and/or sub-optimal display settings","Techniques for managing a display device coupled to a media processing (MP) device are described. An MP logic/module implemented by the MP device can retrieve data from a display device and identify information characterizing the display device in a database based on the retrieved data. The MP logic/module can compare the retrieved data with the identified information and determine, based on the comparison, that software installed on the display device is obsolete, or that one or more settings of the display device has a first configuration. The MP logic/module can also generate a notification based on the determination, which can be displayed on the display device. The MP logic/module can trigger performance of an action based on the determination. Actions can include downloading an updated software to memory, installing the updated software, or changing the one or more settings from the first configuration to a second, more optimal configuration.",3,2018,https://patents.google.com/patent/US20180088933A1/en
Method of controlling display and electronic device for providing the same,"An electronic device, method and computer readable medium are disclosed herein. The electronic device may comprise memory, such as the computer readable medium. The memory may include program instructions executable to implement the method, including identifying, by a controller, load information of the electronic device including execution of an application, detecting screen display information based on the identified load information by the controller, and controlling a display of the electronic device to display an execution screen of the application on the based on the detected screen display information.",1,2019,https://patents.google.com/patent/US10181305B2/en
Virtual reality system including social graph,The disclosure includes a system and method for receiving viewing data that describes a location of a first user's gaze while viewing virtual reality content. The method also determining an object of interest in the virtual reality content based on the location of the first user's gaze. The method also includes generating a social network that includes the first user as a member of the social network. The method also includes performing an action in the social network related to the object of interest.,3,2018,https://patents.google.com/patent/US20180059783A1/en
Systems and methods for configuring a hub-centric virtual/augmented reality environment,"In certain embodiments, a sensing and tracking system detects objects, such as user input devices or peripherals, and user interactions with them. A representation of the objects and user interactions are then injected into the virtual reality environment. The representation can be an actual reality, augmented reality, virtual representation or any combination. For example, an actual keyboard can be injected, but with the keys pressed being enlarged and lighted.",6,2018,https://patents.google.com/patent/US20180173323A1/en
Systems and methods for a peripheral-centric augmented/virtual reality environment,"In certain embodiments, a sensing and tracking system detects objects, such as user input devices or peripherals, and user interactions with them. A representation of the objects and user interactions are then injected into the virtual reality environment. The representation can be an actual reality, augmented reality, virtual representation or any combination. For example, an actual keyboard can be injected, but with the keys pressed being enlarged and lighted.",6,2018,https://patents.google.com/patent/US20180181194A1/en
Systems and methods for operating an input device in an augmented/virtual reality environment,"In some embodiments, a system comprising one or more processors configured to track a location of an input device within a physical environment via a three-dimensional (3D) tracking system, and modify a tracking parameter of the 3D tracking system while tracking the location of the input device based on the determined location of the input device within the physical environment. The input device may be coupled to a virtual reality display system and tracking the location of the location of the input device can be used for interacting with the virtual reality display system.",6,2018,https://patents.google.com/patent/US20180181199A1/en
